Carrera;Lugar;Partida;Caballo;Padrillo;Stud;PF (Kg);Jinete;Jinete_Kg;Preparador;Distancia;Índice;Div.
5;8;13;ESTEPHANIA;CALIFORNIA CHROME;URRA;-;BERNARDO LEON;57;JUAN RODRIGUEZ R.;16 3/4 cpos.;1;6.8
5;9;7;AHMAKIL;GET JETS;AS;435;RICARDO SOLORZA;57;SERGIO ALVARADO P.;17 1/4 cpos.;1;8.3
5;10;4;DOMINGO ISLEÑO;DOMINGO SIETE;GLORIA ADRIANA;483;JUAN MUÑOZ;57;GABRIEL MELEJ;18 1/2 cpos.;3;8.5
5;11;6;LUDMILA;BOBOMAN;SAPNET STABLE;436;WILBERT LEON;57;WALESKA PEÑA;21 1/2 cpos.;1;64.2
5;12;10;EL KICHAN;EXAGGERATOR;MAMAJELU;436;JOSE VILLABLANCA;57;MANUEL VELARDE;21 3/4 cpos.;1;20.5
5;13;9;ATEX;VISCOUNT NELSON;SOBARZO DE G MONICA;446;DARIEN CHEUQUE;57;FELIPE GONZALEZ S.;21 3/4 cpos.;1;7.1
5;14;14;SOBRAO DE CARIÑO;VAN NISTELROOY;BERNAL G. ANDRES;503;VICTOR MIRANDA;57;ANDRES BERNAL;21 3/4 cpos.;1;32.4
5;15;5;PRAIA DO FORTE;GSTAAD II;JUAN DE ORO;454;JESUS PIMENTEL;57;CARLOS GARCIA;35 3/4 cpos.;1;60.4
6;1;13;YO SOY YI;GRAND DADDY;SAVKA HERMANOS;437;GERARD RODRIGUEZ;57;HECTOR MANRIQUEZ;Ganador;3;4
6;2;4;SWEET CHILD;MENDELSSOHN (USA);MAR Y SOL;426;VICTOR MIRANDA;57;CLAUDIO BERNAL;1 3/4 cpos.;6;3.4
6;3;3;FELIPHON;SHANGHAI BOBBY;BARCELONA;477;NICOLAS RAMIREZ;56;ALVARO FERNANDEZ;2 1/2 cpos.;2;6.2
6;4;5;PESO DORADO;GOLDENCENTS;MISTER LIMBO;463;JORGE A. MORA;56;CLAUDIO NAVARRO A.;3 1/4 cpos.;2;4.6
6;5;1;GRAN TOMAHAWK;DADDY LONG LEGS;SAGARDIA HNOS.;460;JOSE SOLANO;56;OSCAR SILVA G.;6 1/4 cpos.;2;20.2
6;6;11;SPECIAL MACHINE;INTERNATIONAL STAR (USA);YAYITA;405;SEBASTIAN GONZALEZ;56;RAUL MONTESINO;7 cpos.;2;7.3
6;7;10;TANGO;INTERNATIONAL STAR (USA);SAGARDIA HNOS.;473;MOISES A. DONOSO;57;OSCAR SILVA G.;7 1/2 cpos.;3;5.8
6;8;12;WALKA;SHANGHAI BOBBY;FUENTES DE M CARMEN;471;DARIEN CHEUQUE;57;CARLOS MELERO;11 1/2 cpos.;3;1.9
6;9;9;POWER MARINE;DISTORTED ECONOMY;MISTER LIMBO;450;PIERO REYES P.;57;CLAUDIO NAVARRO A.;13 3/4 cpos.;3;4.3
6;10;2;RAYO VELOZ;MORNING RAIDER;CAYO;482;BENJAMIN AYALA;57;LUIS MACHULAS G.;15 1/2 cpos.;3;6.9
