Reunion,Carrera,Hora,Distancia,Lugar,Numero,Ejemplar,Padrillo,Peso_Fisico,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
7,14,18:04,1200m,9°,5,Jimbo,Newfoundland,454k,54k,N. Molina,Juan C. Pichara J.,Cecilia Falconi,13.40
7,14,18:04,1200m,10°,6,Ahsoka,Newfoundland,463k,55k,M. Gutiérrez,Julio Castillo D.,Baemar,29.60
7,15,18:31,1200m,1°,11,Luz Oculta,Mendelssohn,460k,56k,B. León,Mario Covarrubias,Quarter Dollar,9.40
7,15,18:31,1200m,2°,4,Chino Matador,Viscount Nelson,429k,53k,F. Medina,Héctor Castillo S.,Ogun,10.00
7,15,18:31,1200m,3°,6,Deeba Spirit,Sahara Spirit,488k,56k,A. Varas,Marco Pavez O.,Haras Sumaya,2.50
7,15,18:31,1200m,4°,7,Pancho Malo,Dylan Thomas,471k,58k,N. Molina,Julio Castillo D.,Corral Hipico,9.50
7,15,18:31,1200m,5°,1,Jerezano,Ivan Denisovich,461k,58k,T. Seith,Pedro Diaz S.,Los Jeques,30.80
7,15,18:31,1200m,6°,13,Monchitocrack,Grand Daddy,498k,58k,V. Miranda,Juan C. Pichara J.,Vasquez Retamales,4.60
7,15,18:31,1200m,7°,8,Tio Juan,Dubai Sky,474k,52k,J. Toro,Alejandro Padovani E.,Carjor,3.90
7,15,18:31,1200m,8°,12,Ciao Xena,International Star,484k,51k,N. Rojas,Rodrigo Pulgar A.,Galiano,82.70
7,15,18:31,1200m,9°,5,Lesnar,Mendelssohn,438k,52k,J. Zúñiga,Rafael Bernal G.,Doña Nani,37.30
7,15,18:31,1200m,10°,3,Stop Loss,Ahora II,464k,51k,D. Carrasco,Juan C. Pichara J.,Mamita Ines,28.90
7,15,18:31,1200m,11°,2,Stop Playing,Cupid,486k,58k,D. Sánchez,Hernán E. Ulloa P.,Amalgama,9.00
7,15,18:31,1200m,12°,10,Bowser,Distorted Economy,430k,55k,I. Vargas,Daniel Contreras A.,Bracortrak,26.00
7,16,19:01,1200m,1°,8,Merkel,Grand Daddy,423k,54k,B. Troncoso,Rodrigo Quiroz S.,Tata Rey,10.40
7,16,19:01,1200m,2°,12,No Me Pilla,Seeking The Dia,419k,54k,H. Barrera,Rodrigo Quiroz S.,Los Quirsan,24.10
7,16,19:01,1200m,3°,3,Rucco,Tourist,501k,54k,I. Valdivia,Pedro Diaz S.,Los Jeques,6.40
7,16,19:01,1200m,4°,14,Arakun,Get Jets,414k,56k,J. Cueto,Juan Ubilla P.,Artigas,9.20
7,16,19:01,1200m,5°,1,Valle De La Luna,Robert Bruce,413k,56k,B. Soto,Julio Castillo D.,Arriba Las Palmas,4.10
7,16,19:01,1200m,6°,6,La Flower,Iron Clad,472k,55k,J. Toro,Juan Gonzalez M.,Solin,12.60
7,16,19:01,1200m,7°,11,Seeking The Soul,Seeking The Dia,434k,55k,V. Miranda,Alejandro Padovani E.,Los Lokolopulus,10.00
