Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador,Pozo
8,16:15,PORFIDO,1600,ARENA,1,MITOU,53,N. Ramirez,M. Rabajille D.,"DOBLE / MP6 N°1 ETP 4"
8,16:15,PORFIDO,1600,ARENA,2,AMIGOS POR SIEMPRE,56,Jr. A. Gonzalez,Cl. Bernal G.,"DOBLE / MP6 N°1 ETP 4"
8,16:15,PORFIDO,1600,ARENA,3,EL RECTOR,58,P. Robles,J. Pinochet P.,"DOBLE / MP6 N°1 ETP 4"
8,16:15,PORFIDO,1600,ARENA,4,LA DICHA,52,I. Valdivia,G. Aguirre A.,"DOBLE / MP6 N°1 ETP 4"
8,16:15,PORFIDO,1600,ARENA,5,ANALOGO,51,A. Vasquez,M. Perez A.,"DOBLE / MP6 N°1 ETP 4"
8,16:15,PORFIDO,1600,ARENA,6,HIJO DEL TUTO,59,L. Torres,,"DOBLE / MP6 N°1 ETP 4"
8,16:15,PORFIDO,1600,ARENA,7,JAZZ ROCK,53,R. S. Dores,D. Matte D.,"DOBLE / MP6 N°1 ETP 4"
8,16:15,PORFIDO,1600,ARENA,8,KAREV,53,J. Medina,P. Baeza A.,"DOBLE / MP6 N°1 ETP 4"
8,16:15,PORFIDO,1600,ARENA,9,SETANTA,50,Jr. Zuñiga,P. Baeza A.,"DOBLE / MP6 N°1 ETP 4"
9,16:45,TERSICORE,1000,ARENA,1,MANKIND,56,I. Valdivia,H. Manriquez F.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
9,16:45,TERSICORE,1000,ARENA,2,QUEEN ANY,58,R. Avila,R. Montesino S.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
9,16:45,TERSICORE,1000,ARENA,3,EL SOM CENTAURO,58,R. Covarrubias,A. Perez D.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
9,16:45,TERSICORE,1000,ARENA,4,MY FLORENCE,56,G. Rodriguez,A. Perez D.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
9,16:45,TERSICORE,1000,ARENA,5,RUCIA DEL DOC,55,Js. Villablanca,A. Fernandez L.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
9,16:45,TERSICORE,1000,ARENA,6,DI ALBA,58,Joh. Gonzalez,G. Covarrubias E.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
9,16:45,TERSICORE,1000,ARENA,7,CABLE A TIERRA,57,M. Chamorro,R. Toledo M.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
9,16:45,TERSICORE,1000,ARENA,8,LA SIGUIENTE,56,A. Varas,H. Manriquez F.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
9,16:45,TERSICORE,1000,ARENA,9,LAGO DEL SOL,57,J. Toro,A. Fernandez L.,"MEGATRIPLE N°3 $ 13.000.000 / MEGA SUPERFECTA $ 1.000.000"
