reunion,carrera,lugar,partida,ejemplar,padre,stud,peso_fisico,jinete,peso_jinete,preparador,distancia,indice,dividendo
87,15,3,13,CAPITAN ROBLES,THE LUMBER GUY,LAS TRES DAMAS,516,WLADIMIR QUINTEROS,58,RODRIGO MUÑOZ,1 3/4 cpos.,46,20.7
87,15,4,2,CARLITOS YUSTI,FORWARD MARCH,MASAIVA,490,JORGE ZUÑIGA,53,OLIVERIO MARTINEZ,2 1/2 cpos.,36,3.4
87,15,5,11,KAPICHU,ENDORSEMENT,MONITO,483,BENJAMIN TRONCOSO,52,OSCAR SILVA S.,5 cpos.,49,44.3
87,15,6,5,HEROICO,MENDELSSOHN,CHOAPA,470,JAIME MEDINA,60,PATRICIO BAEZA A.,5 1/2 cpos.,56,3.9
87,15,7,10,PALTOCITO,CUPID,CHARITO,493,RODOLFO FUENZALIDA,53,CRISTOBAL GONZALEZ M.,6 cpos.,35,17.9
87,15,8,8,JAZZ ROCK,HOOTENANNY,FELIPE JESUS,507,RODOLFO S. DORES,53,DOMINGO MATTE,7 cpos.,44,10.6
87,15,9,3,CHIANA,GRAND DADDY,HARAS MOCITO GUAPO,464,BERNARDO LEON,58,JOSE T. ALLENDE,7 cpos.,50,10.3
87,15,10,9,STRONG DAIKIRI,STRONG MANDATE,LEGACY,504,JOSE PAREDES,53,JOSE ARAYA B.,8 1/2 cpos.,38,93.2
87,15,11,6,TATANKA,CONSTITUTION,FRANTOCRY,457,LUIS TORRES,60,JOSE ARAYA B.,10 1/4 cpos.,54,20
87,15,RT,4,KNESEET,PRACTICAL JOKE,LAS TRES DAMAS,0,N.N.,57,RODRIGO MUÑOZ,Retirado,-47,0
87,15,RT,7,CASTOR TROY,CLOUD COMPUTING,RENAICO,0,N.N.,52,JOSE ARAYA B.,Retirado,-43,0
87,16,1,14,MR CASPER,CUPID,CHARITO,435,ALVARO APABLAZA,56,CRISTOBAL GONZALEZ M.,Ganador,17,13.2
87,16,2,2,ENTRE NEGROS,CLASSIC EMPIRE,DOÑA SOFIA,461,JAIME MEDINA,55,PATRICIO BAEZA A.,1 cpo.,16,3.3
87,16,3,7,MISTER HEAD,DYLAN THOMAS,MARITA,522,BENJAMIN TRONCOSO,52,ALDO PARRA D.,4 cpos.,14,32.6
