Fecha,Hipodromo,Carrera,Hora,Distancia,Condicion,Lugar,Numero,Ejemplar,Padrillo,Edad,Peso_Fisico,Distancia_Al_Primero,Peso_Jinete,Jinete,Preparador,Stud,Dividendo
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,11,11,Beautiful Moon,Exaggerator,4,409k,13,55k,C. C. Bustos.,Jaime Hirmas R.,Los Aviadores,114.40
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,12,12,Chica De Campeones,Annual Report,5,457k,15,55k,B. Sancho.,Rodrigo Quiroz S.,Very Luck,8.70
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,13,6,Don't Stop Me Now,Ivan Denisovich,4,459k,17,55k,N. Venegas.,Eugenio Switt V.,Florence,56.40
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,14,3,El Maripepa,Hold Me Back,6,440k,20,55k,D. Carrasco.,Juan C. Pichara J.,Cacique,42.70
27/12/2025,Hipódromo Chile,8,14:42,1200m,Handicap (Hd) 4 al 3,U,4,Surprise Box,Bated Breath,5,476k,25¼,56k,N. Rojas.,Hernán Pacheco P.,Mosqueteros De Lis,74.40
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,1,3,Malva Star,International Star,4,418k,,55k,A. Zúñiga.,Alejandro Martínez C.,Melendez,5.70
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,2,15,Mas Amor,Ya Primo,3,423k,½ cp,56k,J. González.,Juan Ubilla P.,Forza Al Canut,15.00
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,3,14,Vasca Brava,International Star,4,439k,3,55k,W. León.,Jaime Espineira C.,Jaime Espiñeira C.,19.50
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,4,13,Nurmagomedov,Flameaway,4,479k,3,56k,A. Apablaza.,Oscar Donate S.,Vasquez Retamales,13.10
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,5,6,Francoli,Seeking The Dia,5,438k,4,55k,J. Cueto.,Rafael Quiroz F.,Lucaraste,50.00
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,6,4,Sasuke,Hold Me Back,5,434k,5¼,56k,D. Carrasco.,Juan C. Pichara J.,Cacique,29.70
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,7,11,Desert Cat,Newfoundland,8,451k,5¼,55k,R. Cisternas.,Jaime Espineira C.,La Tropa,7.20
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,8,10,Montes Premium,Exaggerator,4,457k,6½,56k,J. Herrera.,José Allende F.,La Monito,1.90
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,9,5,Salud Compadre,Van Nistelrooy,6,503k,7¼,55k,J. Solano.,José Venegas P.,Lor Kedimar,31.10
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,10,12,Fabrana,Seeking The Dia,8,468k,7¼,55k,R. Fuenzalida.,Ricardo Rojas S.,Altamira,21.70
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,11,8,La Flower,Iron Clad,7,474k,7¾,56k,L. Silva.,Hernán Pacheco P.,Solin,11.40
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,12,2,Julia Domna,Rydilluc,8,486k,8¾,56k,J. Zúñiga.,José Venegas P.,Lor Kedimar,36.20
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,13,1,Power Of Horses,Exaggerator,6,495k,10¼,55k,C. C. Bustos.,Jaime Hirmas R.,Jaime Hirmas R.,88.30
27/12/2025,Hipódromo Chile,9,15:07,1200m,Handicap (Hd) 6 al 5,14,9,Arrancate Pairino,California Chrome,6,465k,13¼,56k,G. Aros.,Mario A. Apablaza G.,Renita,6.20
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,1,14,Tren a Cajon,Dylan Thomas,5,496k,,55k,P. Zúñiga.,Rodrigo López B.,Patito,16.80
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,2,13,El Ultimo Queno,The Lumber Guy,4,475k,,55k,J. Medina.,Rodrigo Sánchez Q.,Haras Lizzie,3.70
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,3,11,Mezzosoprano,Cosmic,7,507k,¾ cp,55k,A. Zúñiga.,Jaime Hirmas R.,Chamo Candela,22.10
27/12/2025,Hipódromo Chile,10,15:32,1200m,Handicap (Hd) 8 al 7,4,9,Carilo,Treasure Beach,4,463k,1½,56k,M. Gutiérrez.,Rafael Bernal G.,El Imperio,7.10
