Carrera,Hora,Nombre_Premio,Lugar,Partida,Caballo,Padrillo,Stud,Peso_Final,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
10,17:42,FALFUSH,9,8,GRAND SMILE,GRAND DADDY,R.A.C.,513,GERARD RODRIGUEZ,55,OLIVERIO MARTINEZ,19 1/2 cpos.,35,12.7
11,18:13,FAAZINANTE,1,2,DE ORO Y COBRE,CONSTITUTION,SAVKA HERMANOS,443,GERARD RODRIGUEZ,58,HECTOR MANRIQUEZ,Ganador,19,4.1
11,18:13,FAAZINANTE,2,10,IMANOL,GOOD SAMARITAN (USA),EL MERO MERO,458,FRANCISCO MORALES,57,JOSE ARAYA B.,3/4 cpos.,17,18.1
11,18:13,FAAZINANTE,3,6,SAIKOU,LOOKIN AT LUCKY,JAQUE S ANGEL,465,RODOLFO FUENZALIDA,56,ANGEL JAQUE S.,2 3/4 cpos.,16,18.4
11,18:13,FAAZINANTE,4,8,VERSE BIEN,ADMIRAL,EL GANCHITO,475,RODOLFO S. DORES,56,ENRIQUE CARREÑO,3 1/4 cpos.,20,5.9
11,18:13,FAAZINANTE,5,11,FLIGHT OF ICARUS,MIDSHIPMAN,TETITO IGNACIO,463,FELIPE HENRIQUEZ,56,SERGIO MORALES,6 cpos.,16,5.9
11,18:13,FAAZINANTE,6,9,SUBI,PASSION FOR GOLD,AS,472,PIERO REYES P.,58,SERGIO ALVARADO P.,6 3/4 cpos.,18,21.1
11,18:13,FAAZINANTE,7,15,MISTER HEAD,DYLAN THOMAS,MARITA,528,AXEL ALVAREZ,55,ALDO PARRA D.,7 1/2 cpos.,15,11
11,18:13,FAAZINANTE,8,14,REY ESCOCES,LOOKIN AT LUCKY,RIO QUILIMARI,505,BENJAMIN TRONCOSO,58,JUAN RODRIGUEZ R.,7 1/2 cpos.,19,4.9
11,18:13,FAAZINANTE,9,4,DOCTORA MILAGRO,GOOD SAMARITAN (USA),MILLONARIO,484,WLADIMIR QUINTEROS,55,DOMINGO MATTE,8 3/4 cpos,15,5.5
11,18:13,FAAZINANTE,10,12,TODAS MIENTEN,CROSS TRAFFIC,EL MERO MERO,397,JOSE PAREDES,56,JOSE ARAYA B.,8 3/4 cpos,16,39.6
11,18:13,FAAZINANTE,11,13,MI LORD,SHANGHAI BOBBY,MAMI CHELA,479,CLAUDIO JORQUERA,56,JUAN CAVIERES,8 3/4 cpos,16,47.8
11,18:13,FAAZINANTE,12,3,PATMAHO,GRAND DADDY,BENVIC,525,BASTIAN SOTO,55,JOSE ARAYA B.,11 1/2 cpos.,16,9.3
11,18:13,FAAZINANTE,13,5,GRAN KURU,EXAGGERATOR,SANTICO,497,AGUSTIN VILLAGRA,54,ALDO PARRA D.,12 1/2 cpos.,15,93.6
11,18:13,FAAZINANTE,14,1,SABIONDO,PATTERNRECOGNITION,MAMAJELU,481,JONATHAN A. CASTILLO,58,ALDO PARRA D.,15 1/2 cpos.,19,17.3
12,18:44,FUMATA BALANCA,1,10,CHICA DEL LUCERO,STAR DABBLER,EL VEINTITRES,418,NICOLAS MOLINA,57,CLAUDIO BERNAL,Ganador,7,3
12,18:44,FUMATA BALANCA,2,4,SCANDINAVA,DYLAN THOMAS,JUAN PATRICIO,455,RODOLFO S. DORES,54,ANDRES BERNAL,1 cpo.,4,14.9
12,18:44,FUMATA BALANCA,3,12,TEA AND MILK,LOOKIN AT LUCKY,SERGIRROA,407,FRANCISCO MORALES,57,RAUL MONTESINO,1 3/4 cpos.,7,5.9
12,18:44,FUMATA BALANCA,4,13,BRUJO DORADO,OCEAN TERRACE,FRITZI,436,GERARD RODRIGUEZ,58,JUAN RODRIGUEZ R.,2 1/4 cpos,9,8.9
12,18:44,FUMATA BALANCA,5,11,EXTROVERTIDA,MASTERCRAFTSMAN,OSCARITO,455,IGNACIO VALDIVIA,55,HECTOR MANRIQUEZ,2 3/4 cpos.,5,25.2
12,18:44,FUMATA BALANCA,6,3,EL BOHEMIO,MIDSHIPMAN,OLIMPIC BLUE,458,VICTOR MIRANDA,56,ALEJANDRO PADOVANI E.,3 cpos.,6,2.7
12,18:44,FUMATA BALANCA,7,8,MINONI,BAD DADDY,BUFALOS MOJADOS,464,ROBERTO AVILA,55,RAUL MONTESINO,3 cpos.,5,112.7
12,18:44,FUMATA BALANCA,8,9,ROSARIO TIJERA,SPOSITO,BON TOUCH,451,WILBERT LEON,58,OSCAR DONATE,4 cpos.,8,13.2
12,18:44,FUMATA BALANCA,9,2,BELLO ENCANTO,GSTAAD II,LOS FELIPES,475,BENJAMIN SANCHO,59,MARIO COVARRUBIAS,4 1/2 cpos.,10,6.5
12,18:44,FUMATA BALANCA,10,7,GUSTO A POCO,GOOD SAMARITAN (USA),MONTESINO S. RAUL,393,MAURICIO CHAMORRO,56,RAUL MONTESINO,4 1/2 cpos.,7,9.6
12,18:44,FUMATA BALANCA,11,6,SEE YOU AGAIN,GOOD SAMARITAN (USA),POR TI NEGRITA,501,RONALD FOURNET,55,FELIPE GONZALEZ S.,4 3/4 cpos.,6,51.3
13,19:15,FORON,1,6,SINGLE BARREL,MENDELSSOHN (USA),CITRAL,522,IGNACIO VALDIVIA,53,JOHN PINOCHET,Ganador,32,2.2
13,19:15,FORON,2,2,KNESEET,PRACTICAL JOKE,LAS TRES DAMAS,462,GUSTAVO AROS,61,RODRIGO MUÑOZ,3/4 cpos.,45,6.4
13,19:15,FORON,3,1,SALTO DEL CEREZO,MENDELSSOHN (USA),POR TI NEGRITA,456,BENJAMIN SANCHO,60,SERGIO MORALES,3 cpos.,41,13.1
13,19:15,FORON,4,3,BADERO,CLASSIC EMPIRE (USA),ELEPHANT,414,VICTOR MIRANDA,55,ALEJANDRO PADOVANI E.,3 1/2 cpos.,34,6.3
13,19:15,FORON,5,4,SEE ME,CLOUD COMPUTING,MILLAR M PATRICIO,513,AXEL ALVAREZ,51,HERNAN ULLOA,4 cpos.,30,7
13,19:15,FORON,6,10,VAMOS AL NOA NOA,GSTAAD II,LOS BRUJOS,452,JOAQUIN HERRERA,58,JUAN RODRIGUEZ R.,4 1/2 cpos.,37,4.1
13,19:15,FORON,7,5,STRAY KIDS,TOURIST,ALDEDO,466,JESUS TORO,51,ALDO PARRA D.,5 cpos.,30,14.1
13,19:15,FORON,8,9,PIANTAO,ZAWRAQ (IRE),JADADIE,460,RODOLFO S. DORES,58,ANDRES BERNAL,7 1/4 cpos.,37,13.3
13,19:15,FORON,9,11,EL PIRI,TOURIST,QUARTER DOLLAR,463,GERARD RODRIGUEZ,57,GENARO COVARRUBIAS,8 1/2 cpos.,36,21.5
13,19:15,FORON,10,7,SIGNORE PIO,FLYER,MILNA,518,RODRIGO COVARRUBIAS,56,FELIPE GONZALEZ S.,10 cpos.,35,84.6
13,19:15,FORON,11,8,SIGUE VOLANDO,FLYER,FRITZI,444,DIEGO CARRASCO,52,ENRIQUE CARREÑO,14 1/4 cpos.,31,136.6
