Carrera,Lugar,Partida,Caballo,Distancia (cuerpos),Jinete,Preparador,Dividendo
13,1º,4,GOOD FATHER,Ganador,PEDRO ROBLES,JOHN PINOCHET,174
13,2º,5,EL SABLAZO,"3 1/4 cpos.",NICOLAS RAMIREZ,MARIO RABAJILLE D.,148.4
13,3º,7,SALZBURG,"3 1/2 cpos.",KEVIN ESPINA,PATRICIO BAEZA A.,2113.7
13,4º,10,BENTINCK,"3 1/2 cpos.",OSCAR ULLOA,PATRICIO BAEZA A.,202.1
13,5º,2,RESISTENTE,"3 3/4 cpos.",JAIME MEDINA,PATRICIO BAEZA A.,177.8
13,6º,6,STEAKHOUSE,"3 3/4 cpos.",JOAQUIN HERRERA,RODRIGO SANCHEZ,177
13,7º,9,ELKAN DADDY,"5 1/2 cpos.",JORGE ZUÑIGA,OLIVERIO MARTINEZ,177.5
13,8º,11,REAL FATHER,"7 3/4 cpos.",DARIEN CHEUQUE,CRISTOBAL GONZALEZ M.,1531.3
13,9º,8,MI RINCON,"8 1/2 cpos.",HUGO OCHOA,RODRIGO SANCHEZ,1451.4
13,10º,3,RAUCO,"9 1/4 cpos.",RAFAEL CISTERNAS,JULIO ORELLANA,1631.6
13,11º,1,TERRIBLE BRUNO,"13 3/4 cpos.",NICOLAS MOLINA,RAUL MONTESINO,1331.9
14,1º,9,EL CALBUCANO,Ganador,RODRIGO PAINEN,FRANCISCO FAUNDEZ LL,1815.1
14,2º,15,MISTER HEAD,"1 cpo.",AXEL ALVAREZ,ALDO PARRA D.,155.1
14,3º,10,HARRY GO,"2 cpos",PEDRO ROBLES,JOHN PINOCHET,198.1
14,4º,5,SABIONDO,"2 1/4 cpos",TOMAS SEITH,ALDO PARRA D.,2022
14,5º,8,DOCTORA MILAGRO,"3 cpos.",HUGO OCHOA,DOMINGO MATTE,175
14,6º,12,TODAS MIENTEN,"4 1/4 cpos",JOSE PAREDES,JOSE ARAYA B.,1833.3
14,7º,7,TOP KING,"4 1/4 cpos",JOAQUIN HERRERA,ANDRES BERNAL,206.4
14,8º,13,SIN PREJUICIOS,"5 1/4 cpos.",FRANCISCO MORALES,RAUL MONTESINO,1813.9
14,9º,6,PUNTO QUIEBRE,"5 1/2 cpos.",FABIAN MEDINA,LEOPOLDO PARRA,1522.6
14,10º,2,SE PREPARO,"6 1/2 cpos.",JESUS TORO,ALDO PARRA D.,1610.5
14,11º,4,GRAN KURU,"7 1/4 cpos.",JONATHAN A. CASTILLO,ALDO PARRA D.,183.4
14,12º,3,DOMENICO,"9 cpos.",BASTIAN SOTO,JOSE ARAYA B.,1715.1
14,13º,14,PETIROSSA,"11 1/4 cpos.",JESUS REYES,RAUL MONTESINO,1688.5
14,14º,11,YA TE DIJE,"14 cpos.",ANDRES CASTILLO,RODRIGO SANCHEZ,1760.5
14,15º,1,SOY GUSTOSA,"18 1/2 cpos.",DARIEN CHEUQUE,PATRICIO LOPEZ,1541.6
15,1º,9,IMANOL,Ganador,NICOLAS RAMIREZ,JOSE ARAYA B.,113.8
15,2º,2,REY DEL ESTERO,"4 3/4 cpos.",GERARD RODRIGUEZ,HERNAN ULLOA,103
15,3º,1,PRIMA TOWN,"6 1/4 cpos.",VICTOR BRACETTI,HECTOR MANRIQUEZ,917.3
15,4º,15,VUELA EL AMOR,"6 1/2 cpos.",MIGUEL GUTIERREZ,ANGEL JAQUE S.,1050.6
15,5º,7,TOWN OF TREBBI,"8 1/2 cpos.",FELIPE HENRIQUEZ,SERGIO MORALES,1012.9
15,6º,5,GRAND CASABLANCA,"8 3/4 cpos",JESUS PIMENTEL,GABRIEL MELEJ,1112.3
15,7º,13,MI JOYA,"9 1/4 cpos.",FRANCISCO MORALES,RAUL MONTESINO,11108
