Carrera,Lugar,Numero,Caballo,Padrillo,Stud,Peso_Caballo,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
13,5,8,HERR MAXIMUM,DUBAI SKY,KUNZ,464,JONATHAN A. CASTILLO,58,SERGIO ALVARADO P.,7 1/2 cpos.,15,4.8
13,6,9,TIGRO (ARG),MASTERCRAFTSMAN,CHARITO,447,ALVARO APABLAZA,57,CRISTOBAL GONZALEZ M.,8 cpos.,14,8.3
13,7,7,ALTO FOREVER,IVAN DENISOVICH,PALESTINA,471,GERARD RODRIGUEZ,57,JOAO CASTILLO L.,11 cpos.,14,7.4
13,8,4,FRENCH CANDY,SEÑOR CANDY,MONTESINO S. RAUL,436,FABIAN MEDINA,56,RAUL MONTESINO,14 3/4 cpos.,13,50.2
13,9,10,RAIRET,DYLAN THOMAS,CHARITO,427,RICARDO SOLORZA,56,CRISTOBAL GONZALEZ M.,15 1/2 cpos.,13,118.3
13,10,3,HUMAN SOUL,IVAN DENISOVICH,SHALIMAR,451,BENJAMIN SANCHO,56,JUAN RODRIGUEZ R.,16 cpos.,13,42.6
13,11,11,PETIROSSA,IVAN DENISOVICH,MONTESINO S. RAUL,441,ROBERTO AVILA,54,RAUL MONTESINO,17 3/4 cpos.,11,93.2
14,1,7,GO SUNSHINE GO,SPUN TO RUN (USA),AMIGOS,454,JOAQUIN HERRERA,57,JOSE M. ALVAREZ D.,Ganador,-,2.5
14,2,15,SALTO DE AMISTAD,GRAND DADDY,POR TI NEGRITA,478,RODOLFO S. DORES,57,SERGIO MORALES,3/4 cpos.,9,1.9
14,3,12,SIEMPRE ESTOY,INTERNATIONAL STAR (USA),COMO LO QUERI,478,GERARD RODRIGUEZ,57,JOSE T. ALLENDE,3 3/4 cpos.,-,12.1
14,4,5,JULIO PARDO,DYLAN THOMAS,CHARITO,479,MIGUEL GUTIERREZ,57,CRISTOBAL GONZALEZ M.,4 cpos.,9,8.4
14,5,3,POETA GRIEGO (ARG),LUCULLAN,VIGALU,417,BERNARDO LEON,57,JUAN RODRIGUEZ R.,4 cpos.,-,8.7
14,6,1,ERKAN,FLAMEAWAY (CAN),SHOT MENZEL,429,MARCO A. BUSTAMANTE,57,JOSE ARAYA B.,7 cpos.,-,37.1
14,7,6,ALFONSO EL GRANDE,ALFONSO (USA),TATA MENGHINI,449,AXEL ALVAREZ,57,CLAUDIO BERNAL,7 1/2 cpos.,9,45.3
14,8,9,LUPO VELOCE,VISCOUNT NELSON,EL GANCHITO,446,LESLY C. GONZALEZ,57,ENRIQUE CARREÑO,9 cpos.,-,101
14,9,13,TEMPLE DEL TOQUE,DUBAI SKY,YAYITA,434,SEBASTIAN MUÑOZ,57,LUIS MACHULAS G.,9 cpos.,-,19.5
14,10,14,TORO DEL MONTE,MONTHIR,BERNAL G. ANDRES,444,RODOLFO FUENZALIDA,57,ANDRES BERNAL,9 1/4 cpos.,-,35.3
14,11,8,ARRUMACO,ZAWRAQ (IRE),VELARDE B MANUEL A,439,BENJAMIN SANCHO,57,MANUEL VELARDE,9 1/2 cpos.,-,37
14,12,2,RAYMI,INTERNATIONAL STAR (USA),SHOT MENZEL,424,RICARDO SOLORZA,57,JOSE ARAYA B.,15 3/4 cpos.,-,190.3
14,13,10,TRASCATRASCA,BAD DADDY,MUNDO FUTURO H.,481,SEBASTIAN GONZALEZ,57,JOSE INDA DE LA C.,16 cpos.,-,37.5
14,14,11,VIAJE A CARMEL,FORWARD MARCH,MASAIVA,431,AGUSTIN VILLAGRA,53,OLIVERIO MARTINEZ,16 1/2 cpos.,-,118.4
14,RT,4,MACHINE HEAD,PALM SPRINGS (USA),MAGDALENA,-,NELSON ROJAS,53,JOHN PINOCHET,-,-,-
15,1,4,JUNO,CLASSIC EMPIRE (USA),C.H.C.,473,SEBASTIAN GONZALEZ,56,HERNAN ULLOA,Ganador,9,2.6
15,2,2,MORINGA,SEEKING THE DIA,LOS CALERANOS,437,JAIME MEDINA,56,JOAO CASTILLO L.,3 cpos.,9,5
15,3,3,LONCO BRAVO,EL HUEÑE,LOS PINCHEIRA,452,JORGE A. GONZALEZ,56,GABRIEL MELEJ,6 cpos.,9,5.9
15,4,10,SULTAN GUERRERO,VAN NISTELROOY,YAYITA,471,ROBERTO AVILA,55,RAUL MONTESINO,6 1/2 cpos.,8,61.3
15,5,9,CASUAL VISION,VISION AND VERSE,MATTE D. DOMINGO,438,RODOLFO S. DORES,56,DOMINGO MATTE,8 1/4 cpos.,9,11.2
15,6,8,COSE DELLA VITA,INTERNATIONAL STAR (USA),ENERGIA,-,MARCO MORALES,57,SERGIO ALVARADO P.,8 1/2 cpos.,10,78.4
15,7,15,SEÑOR TRONCOSO,FORWARD MARCH,BERNAL G CLAUDIO,434,RODOLFO FUENZALIDA,56,CLAUDIO BERNAL,9 1/2 cpos.,9,10.1
15,8,11,AMPAWAN,KATMAI,ROGER WELLMANN H.,436,BASTIAN SOTO,54,JOSE ARAYA B.,9 1/2 cpos.,7,65
15,9,6,CIAO JUANITA,GOOD SAMARITAN (USA),SAGARDIA HNOS.,455,LUIS D. MENGHINI,57,OSCAR SILVA G.,9 3/4 cpos.,10,16.9
15,10,14,RUCIA DEL DOC,EXAGGERATOR,FERNANDEZ L ALVARO,421,JESUS TORO,55,ALVARO FERNANDEZ,12 1/2 cpos.,8,23.8
15,11,7,A MI EDAD DIFICIL,PATTERNRECOGNITION,LOS PRIMOS TARIFEÑO,520,RODRIGO PAINEN,56,SERGIO ALVARADO P.,13 1/2 cpos.,9,4.6
15,12,1,LA ESCUDERA,LOOKIN AT LUCKY,REY ARTURO,431,MARCO A. BUSTAMANTE,57,JOSE ARAYA B.,17 cpos.,10,60.6
15,13,5,ACLIS,EXAGGERATOR,BUREO,480,JOSE PAREDES,56,ROBERTO TOLEDO M.,17 3/4 cpos.,9,10.9
15,14,12,BRUJO DORADO,OCEAN TERRACE,FRITZI,435,DIEGO CARRASCO,55,JUAN RODRIGUEZ R.,20 3/4 cpos.,8,67.6
15,15,13,EL PELUSA,DADDY LONG LEGS,SAGARDIA HNOS.,456,PIERO REYES P.,55,OSCAR SILVA G.,21 cpos.,8,84.1
16,1,4,RIO AZOPARDO,CONSTITUTION,MAR Y SOL,506,BENJAMIN SANCHO,56,CLAUDIO BERNAL,Ganador,21,4.5
16,2,11,QUEEN TIGER,HANDSOME TIGER,EL CEDRO,460,RAFAEL CISTERNAS,54,JUAN CAVIERES,1 3/4 cpos.,19,4
16,3,2,DONDE RAUL,MALAGACY,TRANSPORTES MENDEZ,548,VICTOR MIRANDA,54,ALEJANDRO PADOVANI E.,1 3/4 cpos.,19,7.6
16,4,1,DE ORO Y COBRE,CONSTITUTION,SAVKA HERMANOS,441,GERARD RODRIGUEZ,58,HECTOR MANRIQUEZ,3 cpos.,24,5.1
