Carrera,Lugar,Numero,Ejemplar,Padrillo,Stud,Peso_Fisico,Jinete,Peso_Jinete,Preparador,Distancia,Indice,Dividendo
16,11,2,MAKINEN,CLOUD COMPUTING,ROBLEDO'S,420,NICOLAS MOLINA,55,THEODORE CACHELY,12 1/4 cpos.,3,10.2
16,12,4,MAGNUS AURELIUS,GRAND DADDY,JAVIERA JOSEFA,415,RODOLFO FUENZALIDA,56,CLAUDIO NAVARRO A.,16 cpos.,8,4.2
16,13,11,BRINDO POR ELLA,FATHER OF SCIENCE,TATA CARLOS,485,BENJAMIN SANCHO,55,DOMINGO MATTE,17 1/4 cpos.,3,4.1
16,14,13,QUEEN ANY,CLOUD COMPUTING,LOS CABEZAS ALVAREZ,443,DIEGO CARRASCO,57,RAUL MONTESINO,19 3/4 cpos.,5,85.8
16,RT,12,JARDIN OLVIDADO,EXAGGERATOR,SAGARDIA HNOS.,-,MOISES A. DONOSO,56,OSCAR SILVA G.,-,4,-
17,1,3,DAYI,ALFONSO (USA),JOSE T. ALLENDE F.,489,BERNARDO LEON,57,JOSE T. ALLENDE,Ganador,17,2.5
17,2,1,FLIGHT OF ICARUS,MIDSHIPMAN,TETITO IGNACIO,463,FELIPE HENRIQUEZ,55,SERGIO MORALES,4 cpos.,15,15.9
17,3,8,SALTO DE LUZ,EXAGGERATOR,LAS TRES DAMAS,480,GUSTAVO AROS,57,RODRIGO MUÑOZ,4 1/2 cpos.,17,12.2
17,4,7,LONDON PALACE,STAR DABBLER,VIÑA DEL MAR,485,JORGE ZUÑIGA,57,OLIVERIO MARTINEZ,5 1/4 cpos.,17,8.1
17,5,5,VUELA EL AMOR,GEMOLOGIST,MONIQUE,472,JESUS TORO,56,ANGEL JAQUE S.,6 1/2 cpos.,16,64.2
17,6,2,PEGASUS FANTASIS,MENDELSSOHN (USA),SAGARDIA HNOS.,455,MOISES A. DONOSO,56,OSCAR SILVA G.,7 1/4 cpos.,16,6.9
17,7,13,MY RICHARD,MENDELSSOHN (USA),ARTIGAS,478,PIERO REYES P.,55,HECTOR MANRIQUEZ,7 1/4 cpos.,15,4.4
17,8,12,APOLLONOS,CLOUD COMPUTING,EL MOLINO,483,JOAQUIN HERRERA,56,JOSE M. ALVAREZ D.,7 3/4 cpos.,16,13.8
17,9,6,PUNTO QUIEBRE,ANNUAL REPORT,EL VETERO,461,BENJAMIN TRONCOSO,57,LEOPOLDO PARRA,8 1/4 cpos.,17,29.2
17,10,10,NAVIDAD VELOZ,VERRAZANO (USA),QUARTER DOLLAR,455,ROBERTO AVILA,57,MARIO COVARRUBIAS,11 cpos.,17,25
17,11,15,WALK EASY,GOOD SAMARITAN (USA),GARAGE JCS,445,LESLY C. GONZALEZ,55,FELIPE GONZALEZ S.,11 1/2 cpos.,15,16.3
17,12,9,SORELLA DEL KING,DUBAI SKY,ALVIDAL,441,GERARD RODRIGUEZ,56,RODRIGO SANCHEZ,13 3/4 cpos.,16,6.3
17,13,4,HIJA DEL PAN,GOOD SAMARITAN (USA),ENERGIA,450,RODRIGO COVARRUBIAS,56,ALEXIS PEREZ,16 cpos.,16,65.1
17,RT,11,SOL DE PRIMAVERA,GOOD SAMARITAN (USA),QUEMAZON,-,MARCO MORALES,56,JOHN PINOCHET,-,19,-
17,RT,14,HENAO,GOOD SAMARITAN (USA),PARRA D ALDO,-,BENJAMIN SANCHO,57,ALDO PARRA D.,-,17,-
18,1,3,MANHATTAN PROJECT,CLOUD COMPUTING,HEMISPHERES,471,GERARD RODRIGUEZ,57,CARLOS MELERO,Ganador,12,3.8
18,2,15,TU Y YO,GEMOLOGIST,SAPITO,450,RODRIGO PAINEN,56,MANUEL VELARDE,1/2 cpo.,11,14.7
